6940.75, 359.72, 14
6945.50, 0.98, 12
6978.00, 2.27, 13
0.00, 11.33, 0
0.00, 12.62, 0
0.00, 13.89, 0
0.00, 15.17, 0
7062.75, 8.66, 13
7140.00, 9.94, 11
7154.50, 11.20, 13
7091.50, 12.48, 11
6316.25, 15.05, 13
5656.75, 16.34, 15
5430.75, 18.92, 15
688.25, 124.20, 15
4463.50, 25.36, 15
4284.75, 26.66, 15
4157.50, 27.94, 15
4019.00, 29.23, 15
3942.00, 34.41, 15
3960.00, 35.67, 15
3004.25, 36.95, 15
3659.25, 40.81, 9
3514.75, 42.12, 15
3540.75, 43.41, 15
3567.25, 44.67, 15
0.00, 53.53, 0
0.00, 54.81, 0
3649.00, 48.50, 11
1877.25, 57.38, 0
8640.50, 62.50, 0
11727.50, 79.97, 7
3985.75, 63.98, 7
2478.50, 69.11, 15
3977.50, 48.97, 15
6479.50, 59.09, 11
2014.25, 99.81, 15
5071.25, 124.17, 56
3579.75, 124.14, 13
1103.50, 114.47, 15
14671.50, 121.06, 15
810.50, 124.09, 19
8399.50, 130.23, 15
4342.75, 23.91, 16
3970.75, 124.08, 33
3970.00, 143.89, 15
518.25, 153.02, 15
514.25, 154.30, 15
510.75, 155.69, 15
13391.50, 15.72, 15
496.00, 162.19, 15
494.00, 163.59, 15
491.75, 164.75, 15
6735.50, 166.17, 15
5606.75, 124.05, 15
488.50, 177.67, 15
490.25, 180.06, 15
3973.75, 124.05, 45
4175.50, 15.80, 23
519.00, 192.92, 15
530.75, 195.44, 15
536.75, 196.73, 15
549.75, 199.19, 15
6451.25, 124.55, 15
574.25, 203.02, 15
581.75, 204.09, 15
589.25, 205.39, 15
596.25, 206.61, 15
605.00, 208.05, 15
614.75, 209.19, 15
622.00, 210.50, 15
631.75, 211.66, 15
641.75, 212.91, 15
654.25, 214.19, 15
667.25, 215.39, 15
680.25, 216.64, 15
696.50, 217.89, 15
712.00, 219.14, 15
729.75, 220.47, 15
748.25, 221.58, 15
770.50, 222.88, 15
791.25, 224.06, 15
817.25, 225.28, 15
839.50, 226.55, 15
